Date,Price,Open,High,Low,Change 
2019-03-18,104594.66,103785.14,104882.8,103785.14,0.01
2019-03-19,104861.64,104664.14,105929.13,104154.43,0
2019-03-20,103310.21,104806.63,105098.82,103181.19,-0.01
2019-03-21,103407.79,103836.04,104248.31,102534.12,0
2019-03-22,99835.31,103653.49,103755.75,99652.38,-0.03
2019-03-25,99325.92,100027.45,100381.74,98367.09,-0.01
2019-03-26,97378.58,99990.45,100260.14,97153.89,-0.02
2019-03-27,91855.14,97820.68,97998.39,90523.89,-0.06
2019-03-28,92120.33,91181.61,93744.34,90776.82,0
2019-03-29,93784.18,92499.04,94246.97,91904.36,0.02
2019-04-01,94101.28,93908.43,95117.54,91864.5,0
2019-04-02,93533.12,93635.07,95352.16,93132.28,-0.01
2019-04-03,94441.1,94158.59,94891.28,94041.46,0.01
2019-04-04,98336.85,94477.87,98336.85,94297.26,0.04
2019-04-05,98783.36,98963.19,99214.08,97422.19,0
2019-04-08,96978.32,98978.89,99076.85,96735.63,-0.02
2019-04-09,98135.3,97956.66,98748.33,97496.9,0.01
2019-04-10,97015.02,98404.68,98456.13,96912.48,-0.01
2019-04-11,96072.99,97227.16,97530.85,96021.82,-0.01
2019-04-12,95976.82,95721.69,96168.46,95028.49,0
2019-04-15,95191.67,95760.29,96531.39,95191.67,-0.01
2019-04-16,96809,95676.89,97102.07,95676.89,0.02
2019-04-17,98203.2,97347.38,98661.99,97297.72,0.01
2019-04-18,96886.48,97911.9,97912.1,96623.69,-0.01
2019-04-19,96861.42,97081.97,97293.09,96737.49,0
2019-04-22,95952.77,96389.79,96452.29,95899.48,-0.01
2019-04-24,96142.18,95821.42,96537.15,95821.42,0
2019-04-25,94498.54,96351.05,96457.08,93891.66,-0.02
2019-04-26,94783.14,94886.81,95144.78,94046.19,0
2019-04-29,94535.1,95039.78,95113.87,94236.73,0
2019-04-30,95415.57,94736.05,95730.16,94736.05,0.01
2019-05-02,94179.37,95729.8,96050.48,93919.69,-0.01
2019-05-03,93946.08,94245.42,94395.92,93475.69,0
2019-05-06,92982.27,93026.37,93076.15,91541.17,-0.01
2019-05-07,91482.45,90801.28,91926.73,90698.17,-0.02
2019-05-08,90272.19,90767.72,91600.57,89734.38,-0.01
2019-05-09,88685.88,90312.49,90696.56,88647.56,-0.02
2019-05-10,88533.4,89480.41,89855.5,88315.54,0
2019-05-13,86282.54,88628.65,88740.71,85446.61,-0.03
